name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Josh Allen,1,1,QB,BUF,2885,1.7,1.02,1000,1,4,0.9,7,2qb,10,6,5911,2026-07-28,2026-08-27
Jahmyr Gibbs,2,2,RB,DET,5672,1.8,1.02,817,1,4,0.8,6,2qb,10,6,5911,2026-07-28,2026-08-27
Bijan Robinson,3,3,RB,ATL,5670,2.6,1.03,491,1,4,0.7,11,2qb,10,6,5911,2026-07-28,2026-08-27
Puka Nacua,4,4,WR,LAR,5714,4.7,1.05,485,1,9,1.2,11,2qb,10,6,5911,2026-07-28,2026-08-27
Jonathan Taylor,5,5,RB,IND,4864,5.5,1.06,491,3,10,1.4,13,2qb,10,6,5911,2026-07-28,2026-08-27
Ja'Marr Chase,6,6,WR,CIN,5177,6.6,1.07,1427,1,14,2.3,6,2qb,10,6,5911,2026-07-28,2026-08-27
Drake Maye,7,7,QB,NE,6187,7.1,1.07,682,1,15,2.8,11,2qb,10,6,5911,2026-07-28,2026-08-27
Lamar Jackson,8,8,QB,BAL,2888,8.3,1.08,1151,1,17,3,13,2qb,10,6,5911,2026-07-28,2026-08-27
Jaxon Smith-Njigba,9,9,WR,SEA,5671,8.4,1.08,672,3,23,2,11,2qb,10,6,5911,2026-07-28,2026-08-27
Joe Burrow,10,10,QB,CIN,4882,9.2,1.09,919,1,18,3,6,2qb,10,6,5911,2026-07-28,2026-08-27
Christian McCaffrey,11,11,RB,SF,2434,10.1,1.10,1063,3,20,2.8,8,2qb,10,6,5911,2026-07-28,2026-08-27
Derrick Henry,12,12,RB,BAL,2350,10.6,2.01,363,3,18,2.6,13,2qb,10,6,5911,2026-07-28,2026-08-27
Amon-Ra St. Brown,13,13,WR,DET,5182,13.5,2.04,1252,4,26,3.4,6,2qb,10,6,5911,2026-07-28,2026-08-27
Dak Prescott,14,14,QB,DAL,2377,13.6,2.04,633,6,22,2.8,14,2qb,10,6,5911,2026-07-28,2026-08-27
Jayden Daniels,15,15,QB,WAS,5854,13.9,2.04,641,5,22,3.1,7,2qb,10,6,5911,2026-07-28,2026-08-27
James Cook III,16,16,RB,BUF,5652,15.8,2.06,1488,4,30,4.7,7,2qb,10,6,5911,2026-07-28,2026-08-27
Jalen Hurts,17,18,QB,PHI,5025,17.2,2.07,518,8,26,3.2,10,2qb,10,6,5911,2026-07-28,2026-08-27
Matthew Stafford,18,17,QB,LAR,1664,17.2,2.07,383,10,27,2.7,11,2qb,10,6,5911,2026-07-28,2026-08-27
Brock Purdy,19,19,QB,SF,5648,19.2,2.09,187,10,30,3.4,8,2qb,10,6,5911,2026-07-28,2026-08-27
Trevor Lawrence,20,20,QB,JAX,5186,19.6,2.10,429,6,37,5.2,7,2qb,10,6,5911,2026-07-28,2026-08-27
De'Von Achane,21,21,RB,MIA,5683,21,3.01,737,8,35,4.9,6,2qb,10,6,5911,2026-07-28,2026-08-27
Caleb Williams,22,22,QB,CHI,6173,21.9,3.02,706,8,45,5.1,10,2qb,10,6,5911,2026-07-28,2026-08-27
Patrick Mahomes,23,23,QB,KC,2462,24,3.04,360,9,46,5.4,5,2qb,10,6,5911,2026-07-28,2026-08-27
Drake London,24,24,WR,ATL,5574,24.2,3.04,238,12,36,4.6,11,2qb,10,6,5911,2026-07-28,2026-08-27
Jared Goff,25,25,QB,DET,2351,24.8,3.05,422,12,49,4.7,6,2qb,10,6,5911,2026-07-28,2026-08-27
Saquon Barkley,26,26,RB,PHI,2860,24.9,3.05,1780,10,40,5.4,10,2qb,10,6,5911,2026-07-28,2026-08-27
CeeDee Lamb,27,27,WR,DAL,4869,25.1,3.05,1639,11,39,5.4,14,2qb,10,6,5911,2026-07-28,2026-08-27
Justin Herbert,28,28,QB,LAC,4887,25.9,3.06,817,13,53,4.7,7,2qb,10,6,5911,2026-07-28,2026-08-27
Justin Jefferson,29,29,WR,MIN,4876,28.3,3.08,1629,11,46,6.5,6,2qb,10,6,5911,2026-07-28,2026-08-27
Rashee Rice,30,30,WR,KC,5696,29.7,3.10,244,14,44,6.3,5,2qb,10,6,5911,2026-07-28,2026-08-27
Ashton Jeanty,31,31,RB,LV,6500,30.1,3.10,1392,9,62,7.9,13,2qb,10,6,5911,2026-07-28,2026-08-27
Chase Brown,32,32,RB,CIN,5706,30.4,3.10,1781,13,48,6.4,6,2qb,10,6,5911,2026-07-28,2026-08-27
Bo Nix,33,33,QB,DEN,6253,30.6,4.01,566,15,56,6,10,2qb,10,6,5911,2026-07-28,2026-08-27
Jaxson Dart,34,34,QB,NYG,6568,30.8,4.01,332,16,58,7.3,8,2qb,10,6,5911,2026-07-28,2026-08-27
George Pickens,35,35,WR,DAL,5576,33.3,4.03,336,19,43,5.1,14,2qb,10,6,5911,2026-07-28,2026-08-27
Josh Jacobs,36,36,RB,GB,3255,34.7,4.05,260,19,49,5.8,11,2qb,10,6,5911,2026-07-28,2026-08-27
A.J. Brown,37,37,WR,NE,3247,34.8,4.05,845,21,48,5.1,11,2qb,10,6,5911,2026-07-28,2026-08-27
Nico Collins,38,38,WR,HOU,5207,36.1,4.06,412,24,48,4.3,8,2qb,10,6,5911,2026-07-28,2026-08-27
Kenneth Walker,39,39,RB,KC,5625,38.5,4.09,1518,17,58,8.1,5,2qb,10,6,5911,2026-07-28,2026-08-27
Omarion Hampton,40,40,RB,LAC,6538,38.9,4.09,1523,22,54,6.4,7,2qb,10,6,5911,2026-07-28,2026-08-27
Kyren Williams,41,41,RB,LAR,5623,40.1,4.10,557,25,54,5.7,11,2qb,10,6,5911,2026-07-28,2026-08-27
Chris Olave,42,42,WR,NO,5544,41.6,5.02,476,25,58,6.3,8,2qb,10,6,5911,2026-07-28,2026-08-27
