name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Brandon Aubrey,1,132,K,DAL,6162,129.3,17.01,2083,71,184,22.1,14,ppr,8,6,7681,2026-08-28,2026-09-04
Jason Myers,2,146,K,SEA,2424,137.4,18.01,166,88,184,18.8,11,ppr,8,6,7681,2026-08-28,2026-09-04
Ka'imi Fairbairn,3,147,K,HOU,2531,137.5,18.02,184,93,183,17.3,8,ppr,8,6,7681,2026-08-28,2026-09-04
Cameron Dicker,4,155,K,LAC,5538,145.8,19.02,262,101,189,20.3,7,ppr,8,6,7681,2026-08-28,2026-09-04
Harrison Mevis,5,159,K,LAR,6299,148.8,19.05,118,100,180,18.6,11,ppr,8,6,7681,2026-08-28,2026-09-04
Jake Bates,6,164,K,DET,6055,151.1,19.07,173,101,192,19.1,6,ppr,8,6,7681,2026-08-28,2026-09-04
Chris Boswell,7,166,K,PIT,2340,152.2,19.08,45,139,204,14.1,9,ppr,8,6,7681,2026-08-28,2026-09-04
Cam Little,8,168,K,JAX,6188,152.7,20.01,378,106,210,17.7,7,ppr,8,6,7681,2026-08-28,2026-09-04
Chase McLaughlin,9,171,K,TB,4865,153,20.01,180,102,194,19.4,10,ppr,8,6,7681,2026-08-28,2026-09-04
Blake Grupe,10,184,K,NYJ,6046,157.2,20.05,19,83,199,29.5,13,ppr,8,6,7681,2026-08-28,2026-09-04
Tyler Loop,11,186,K,BAL,6587,157.3,20.05,109,116,208,17.1,13,ppr,8,6,7681,2026-08-28,2026-09-04
Harrison Butker,12,198,K,KC,2514,158.9,20.07,230,109,210,19,5,ppr,8,6,7681,2026-08-28,2026-09-04
Will Reichard,13,199,K,MIN,6296,159.2,20.07,113,112,194,18.1,6,ppr,8,6,7681,2026-08-28,2026-09-04
Wil Lutz,14,210,K,DEN,2522,161.7,21.02,166,133,210,16,10,ppr,8,6,7681,2026-08-28,2026-09-04
Eddy Piñeiro,15,218,K,SF,3097,163.3,21.03,106,118,209,17.1,8,ppr,8,6,7681,2026-08-28,2026-09-04
Andy Borregales,16,226,K,NE,6585,164.7,21.05,22,124,209,20.9,11,ppr,8,6,7681,2026-08-28,2026-09-04
Trey Smack,17,227,K,GB,6835,165.5,21.06,54,116,207,19.1,11,ppr,8,6,7681,2026-08-28,2026-09-04
Evan McPherson,18,230,K,CIN,5669,166.3,21.06,77,107,210,22.5,6,ppr,8,6,7681,2026-08-28,2026-09-04
Tyler Bass,19,238,K,BUF,5036,168.2,21.08,23,105,210,24.2,7,ppr,8,6,7681,2026-08-28,2026-09-04
Cairo Santos,20,240,K,CHI,2335,169.4,22.01,51,123,206,17.7,10,ppr,8,6,7681,2026-08-28,2026-09-04
Jake Elliott,21,249,K,PHI,2529,173.8,22.06,11,135,210,25.3,10,ppr,8,6,7681,2026-08-28,2026-09-04
Joey Slye,22,259,K,TEN,4868,177.6,23.02,5,172,180,3.6,9,ppr,8,6,7681,2026-08-28,2026-09-04
Dominic Zvada,23,265,K,NYG,6936,182.8,23.07,5,147,206,23.3,8,ppr,8,6,7681,2026-08-28,2026-09-04
