name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.7,1.02,460,1,6,0.8,6,ppr,8,6,3526,2026-07-21,2026-07-28
Bijan Robinson,2,2,RB,ATL,5670,1.9,1.02,396,1,4,0.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Puka Nacua,3,3,WR,LAR,5714,2.8,1.03,120,1,4,0.7,11,ppr,8,6,3526,2026-07-21,2026-07-28
Ja'Marr Chase,4,4,WR,CIN,5177,4.2,1.04,743,1,8,1.2,6,ppr,8,6,3526,2026-07-21,2026-07-28
Christian McCaffrey,5,5,RB,SF,2434,4.7,1.05,316,1,9,1.1,8,ppr,8,6,3526,2026-07-21,2026-07-28
Jaxon Smith-Njigba,6,6,WR,SEA,5671,6.4,1.06,446,1,11,1.7,11,ppr,8,6,3526,2026-07-21,2026-07-28
Jonathan Taylor,7,7,RB,IND,4864,6.8,1.07,367,3,11,1.7,13,ppr,8,6,3526,2026-07-21,2026-07-28
Amon-Ra St. Brown,8,8,WR,DET,5182,7.7,1.08,375,3,12,1.5,6,ppr,8,6,3526,2026-07-21,2026-07-28
De'Von Achane,9,9,RB,MIA,5683,9.6,2.02,199,5,15,1.6,6,ppr,8,6,3526,2026-07-21,2026-07-28
Ashton Jeanty,10,10,RB,LV,6500,11.3,2.03,315,5,18,2.3,13,ppr,8,6,3526,2026-07-21,2026-07-28
CeeDee Lamb,11,11,WR,DAL,4869,11.6,2.04,468,5,19,2.4,14,ppr,8,6,3526,2026-07-21,2026-07-28
Drake London,12,12,WR,ATL,5574,11.6,2.04,125,6,17,2.1,11,ppr,8,6,3526,2026-07-21,2026-07-28
Justin Jefferson,13,13,WR,MIN,4876,12,2.04,410,5,19,2.6,6,ppr,8,6,3526,2026-07-21,2026-07-28
James Cook III,14,14,RB,BUF,5652,12.4,2.04,631,5,19,2.6,7,ppr,8,6,3526,2026-07-21,2026-07-28
A.J. Brown,15,15,WR,NE,3247,15.1,2.07,310,8,22,2.6,11,ppr,8,6,3526,2026-07-21,2026-07-28
Derrick Henry,16,16,RB,BAL,2350,15.5,2.07,214,8,22,2.5,13,ppr,8,6,3526,2026-07-21,2026-07-28
Chase Brown,17,17,RB,CIN,5706,16.8,3.01,485,9,27,2.9,6,ppr,8,6,3526,2026-07-21,2026-07-28
Omarion Hampton,18,18,RB,LAC,6538,17.7,3.02,641,10,26,2.9,7,ppr,8,6,3526,2026-07-21,2026-07-28
Saquon Barkley,19,19,RB,PHI,2860,17.9,3.02,614,9,27,3.3,10,ppr,8,6,3526,2026-07-21,2026-07-28
George Pickens,20,20,WR,DAL,5576,20.7,3.05,256,12,29,3.2,14,ppr,8,6,3526,2026-07-21,2026-07-28
Kenneth Walker III,21,21,RB,KC,5625,21.2,3.05,484,13,30,3,5,ppr,8,6,3526,2026-07-21,2026-07-28
Jeremiyah Love,22,22,RB,ARI,6769,22.2,3.06,184,17,28,2.2,14,ppr,8,6,3526,2026-07-21,2026-07-28
Chris Olave,23,23,WR,NO,5544,23.6,3.08,206,15,33,3.5,8,ppr,8,6,3526,2026-07-21,2026-07-28
Nico Collins,24,24,WR,HOU,5207,24.2,3.08,408,16,32,3.1,8,ppr,8,6,3526,2026-07-21,2026-07-28
Rashee Rice,25,25,WR,KC,5696,25.1,4.01,370,14,39,3.9,5,ppr,8,6,3526,2026-07-21,2026-07-28
Josh Jacobs,26,26,RB,GB,3255,26.5,4.02,342,18,38,3.5,11,ppr,8,6,3526,2026-07-21,2026-07-28
Josh Allen,27,27,QB,BUF,2885,27.5,4.03,431,9,42,6.7,7,ppr,8,6,3526,2026-07-21,2026-07-28
