name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,3,1.32,0.57,17298
Drake Maye,2,QB,NE,QB2,1,1,4,2.05,0.83,23046
Jayden Daniels,3,QB,WAS,QB3,1,3,12,5.42,3.23,22902
Ja'Marr Chase,4,WR,CIN,WR1,1,3,8,6.32,1.84,19788
Lamar Jackson,5,QB,BAL,QB4,2,3,27,6.58,5.34,17233
Jaxon Smith-Njigba,6,WR,SEA,WR2,2,2,14,8.84,2.48,23070
Caleb Williams,7,QB,CHI,QB5,2,4,42,9.21,8.22,23084
Joe Burrow,8,QB,CIN,QB6,2,3,25,9.53,6.51,19196
Bijan Robinson,9,RB,ATL,RB1,2,4,19,10.53,5.10,23133
Puka Nacua,10,WR,LAR,WR3,2,6,18,10.95,4.19,23180
Jahmyr Gibbs,11,RB,DET,RB2,2,5,19,12.47,4.79,22968
Justin Herbert,12,QB,LAC,QB7,3,6,28,12.89,6.93,18635
Patrick Mahomes II,13,QB,KC,QB8,3,5,26,13.47,5.72,16413
Jalen Hurts,14,QB,PHI,QB9,3,5,29,15.68,6.36,19275
Amon-Ra St. Brown,15,WR,DET,WR4,3,9,26,16.16,4.49,19799
Justin Jefferson,16,WR,MIN,WR5,3,10,27,17.26,4.53,19236
Trevor Lawrence,17,QB,JAC,QB10,3,11,34,17.84,6.93,19780
Ashton Jeanty,18,RB,LV,RB3,3,12,27,19.74,4.05,25989
Malik Nabers,19,WR,NYG,WR6,3,10,34,19.84,6.02,25409
CeeDee Lamb,20,WR,DAL,WR7,3,14,32,20.58,5.07,19202
Brock Purdy,21,QB,SF,QB11,4,14,47,23.21,9.82,19797
Drake London,22,WR,ATL,WR8,4,13,29,23.95,4.61,23163
Jaxson Dart,23,QB,NYG,QB12,4,13,51,24.16,9.22,23160
Jeremiyah Love,24,RB,ARI,RB4,4,13,30,24.16,4.78,25403
Bo Nix,25,QB,DEN,QB13,4,13,49,25.42,10.86,22910
Omarion Hampton,26,RB,LAC,RB5,4,18,36,26.47,5.15,25395
De'Von Achane,27,RB,MIA,RB6,4,20,36,27.21,4.37,23136
Brock Bowers,28,TE,LV,TE1,4,11,43,28.32,9.51,22955
Tetairoa McMillan,29,WR,CAR,WR9,4,24,39,30.26,3.67,25417
Dak Prescott,30,QB,DAL,QB14,4,15,56,30.95,11.72,15600
James Cook III,31,RB,BUF,RB7,4,21,39,31.68,4.10,22958
Nico Collins,32,WR,HOU,WR10,5,26,41,33.89,3.97,20130
Jordan Love,33,QB,GB,QB15,5,20,67,33.95,14.70,19246
Emeka Egbuka,34,WR,TB,WR11,5,28,51,34.37,4.65,23062
Jonathan Taylor,35,RB,IND,RB8,5,25,49,34.84,6.40,19217
Trey McBride,36,TE,ARI,TE2,5,16,58,35.68,10.55,22936
George Pickens,37,WR,DAL,WR12,5,25,58,36.53,7.24,22963
Kenneth Walker III,38,RB,KC,RB9,5,29,53,38.95,4.77,23021
Carnell Tate,39,WR,TEN,WR13,5,25,57,40.16,7.86,26009
Chris Olave,40,WR,NO,WR14,5,35,51,40.26,3.96,20111
Garrett Wilson,41,WR,NYJ,WR15,5,32,55,43.21,5.67,23072
Ladd McConkey,42,WR,LAC,WR16,5,33,59,44.32,5.97,26122
Luther Burden III,43,WR,CHI,WR17,5,36,58,45.37,5.46,27016
Zay Flowers,44,WR,BAL,WR18,5,35,61,46.68,6.77,22916
DeVonta Smith,45,WR,PHI,WR19,5,35,57,46.74,6.32,19222
Breece Hall,46,RB,NYJ,RB10,5,30,64,46.84,9.04,22982
Jared Goff,47,QB,DET,QB16,5,25,84,48.00,16.79,15501
A.J. Brown,48,WR,NE,WR20,5,35,65,48.21,8.34,18218
Colston Loveland,49,TE,CHI,TE3,6,22,63,49.21,13.27,26006
Jordyn Tyson,50,WR,NO,WR21,6,36,77,50.21,8.10,26035
Chase Brown,51,RB,CIN,RB11,6,37,65,51.32,7.27,25324
Makai Lemon,52,WR,PHI,WR22,6,43,76,54.16,6.62,25420
Fernando Mendoza,53,QB,LV,QB17,6,25,93,54.63,15.69,28013
Rashee Rice,54,WR,KC,WR23,6,37,90,56.53,14.11,23113
Tee Higgins,55,WR,CIN,WR24,6,43,72,56.79,8.44,19211
Jaylen Waddle,56,WR,DEN,WR25,6,46,69,57.16,6.75,19790
Tyler Warren,57,TE,IND,TE4,6,39,69,57.26,7.16,26434
Baker Mayfield,58,QB,TB,QB18,6,24,78,58.47,12.69,17237
Rome Odunze,59,WR,CHI,WR26,6,46,80,58.89,8.40,25411
TreVeyon Henderson,60,RB,NE,RB12,6,48,78,60.37,8.84,23065
Cam Ward,61,QB,TEN,QB19,6,37,87,61.05,12.16,24755
C.J. Stroud,62,QB,HOU,QB20,6,25,104,63.26,20.72,23071
Quinshon Judkins,63,RB,CLE,RB13,6,44,88,64.26,10.61,25391
Saquon Barkley,64,RB,PHI,RB14,6,42,76,64.32,8.90,17240
Marvin Harrison Jr.,65,WR,ARI,WR27,6,51,81,64.42,9.35,23064
Tucker Kraft,66,TE,GB,TE5,6,55,82,64.74,6.09,25298
Harold Fannin Jr.,67,TE,CLE,TE6,7,59,86,67.47,5.83,27050
Christian McCaffrey,68,RB,SF,RB15,7,41,79,68.26,9.69,16393
Tyler Shough,69,QB,NO,QB21,7,50,92,68.26,13.27,23096
Jameson Williams,70,WR,DET,WR28,7,57,88,68.84,7.98,23677
Kyren Williams,71,RB,LAR,RB16,7,58,83,69.37,6.29,23059
Brian Thomas Jr.,72,WR,JAC,WR29,7,50,84,70.11,9.77,23000
Sam LaPorta,73,TE,DET,TE7,7,65,83,72.47,4.85,22978
Travis Etienne Jr.,74,RB,NO,RB17,7,58,84,73.63,6.23,19231
Kyle Pitts Sr.,75,TE,ATL,TE8,7,63,102,75.32,9.73,20164
