name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.02,0.13,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,8,2.63,1.25,17233
Drake Maye,3,QB,NE,QB3,1,2,7,3.30,1.14,23046
Joe Burrow,4,QB,CIN,QB4,1,2,26,4.91,2.69,19196
Jalen Hurts,5,QB,PHI,QB5,2,3,19,7.14,3.73,19275
Ja'Marr Chase,6,WR,CIN,WR1,2,6,14,7.18,2.18,19788
Jayden Daniels,7,QB,WAS,QB6,2,2,70,8.54,7.69,22902
Caleb Williams,8,QB,CHI,QB7,2,3,26,9.56,4.45,23084
Jahmyr Gibbs,9,RB,DET,RB1,2,2,15,10.07,2.09,22968
Puka Nacua,10,WR,LAR,WR2,2,6,23,11.34,2.92,23180
Bijan Robinson,11,RB,ATL,RB2,2,3,15,11.91,2.01,23133
Justin Herbert,12,QB,LAC,QB8,2,4,32,12.22,5.97,18635
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,23,12.94,2.43,23070
Amon-Ra St. Brown,14,WR,DET,WR4,3,11,21,13.48,2.31,19799
Trevor Lawrence,15,QB,JAC,QB9,3,4,41,14.58,6.56,19780
Dak Prescott,16,QB,DAL,QB10,3,4,49,15.07,6.54,15600
Christian McCaffrey,17,RB,SF,RB3,3,13,40,18.76,6.78,16393
Justin Jefferson,18,WR,MIN,WR5,3,12,45,21.24,4.21,19236
CeeDee Lamb,19,WR,DAL,WR6,3,14,45,21.41,3.44,19202
Brock Purdy,20,QB,SF,QB11,4,9,55,23.53,7.93,19797
Bo Nix,21,QB,DEN,QB12,4,8,55,23.58,6.95,22910
Jonathan Taylor,22,RB,IND,RB4,4,12,48,24.60,7.56,19217
Jaxson Dart,23,QB,NYG,QB13,4,7,55,26.13,9.17,23160
Drake London,24,WR,ATL,WR7,4,20,45,26.29,5.45,23163
A.J. Brown,25,WR,NE,WR8,4,14,68,26.43,7.09,18218
Patrick Mahomes II,26,QB,KC,QB14,4,9,66,28.28,8.56,16413
James Cook III,27,RB,BUF,RB5,4,15,49,29.18,9.08,22958
Nico Collins,28,WR,HOU,WR9,4,21,52,30.24,5.93,20130
Jared Goff,29,QB,DET,QB15,4,8,56,30.60,9.05,15501
Chase Brown,30,RB,CIN,RB6,4,15,54,31.07,8.20,25324
Chris Olave,31,WR,NO,WR10,4,20,52,31.28,7.77,20111
Matthew Stafford,32,QB,LAR,QB16,4,16,56,31.75,9.66,9451
Trey McBride,33,TE,ARI,TE1,5,29,78,34.46,6.62,22936
George Pickens,34,WR,DAL,WR11,5,21,59,35.93,7.11,22963
De'Von Achane,35,RB,MIA,RB7,5,15,54,36.22,8.64,23136
Brock Bowers,36,TE,LV,TE2,5,21,78,36.93,5.65,22955
DeVonta Smith,37,WR,PHI,WR12,5,20,63,38.49,8.01,19222
Saquon Barkley,38,RB,PHI,RB8,5,22,58,38.98,7.18,17240
Kyler Murray,39,QB,MIN,QB17,5,19,87,39.55,11.08,18600
Malik Nabers,40,WR,NYG,WR13,5,23,69,40.42,10.28,25409
Kenneth Walker III,41,RB,KC,RB9,5,15,71,40.68,9.01,23021
Omarion Hampton,42,RB,LAC,RB10,5,22,61,41.00,7.80,25395
Jordan Love,43,QB,GB,QB18,5,19,60,43.23,10.55,19246
Rashee Rice,44,WR,KC,WR14,5,23,110,43.60,12.36,23113
Ashton Jeanty,45,RB,LV,RB11,5,13,61,44.55,8.69,25989
Zay Flowers,46,WR,BAL,WR15,5,24,73,45.75,8.54,22916
Baker Mayfield,47,QB,TB,QB19,5,18,64,46.03,9.89,17237
Garrett Wilson,48,WR,NYJ,WR16,5,24,80,46.83,8.79,23072
Tyler Shough,49,QB,NO,QB20,6,19,76,50.30,9.60,23096
Jaylen Waddle,50,WR,DEN,WR17,6,27,82,51.52,10.08,19790
Ladd McConkey,51,WR,LAC,WR18,6,28,80,51.56,9.64,26122
Derrick Henry,52,RB,BAL,RB12,6,24,74,52.35,8.90,15514
Colston Loveland,53,TE,CHI,TE3,6,39,104,53.43,14.18,26006
Tetairoa McMillan,54,WR,CAR,WR19,6,28,80,53.48,8.57,25417
Tee Higgins,55,WR,CIN,WR20,6,35,86,53.69,8.09,19211
Malik Willis,56,QB,MIA,QB21,6,29,124,54.18,13.26,23499
Breece Hall,57,RB,NYJ,RB13,6,42,74,57.02,6.40,22982
Jeremiyah Love,58,RB,ARI,RB14,6,39,95,57.73,10.19,25403
