name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,16,36,40,,0.282,0.282,7.7,8.4,12.1,12.3,9.7,11.1,6,6,45,46,153,9.6,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,16,36,40,,0.305,0.305,8.4,8.8,9.9,10.1,10.6,11.8,6.5,6.5,39,40,147,9.2,2026
Jake Bates,3,3,K,DET,3173439,16,30,36,,0.234,0.234,7.2,7.3,8.1,8.2,9.1,11,4.83,4.83,52,54,142,8.9,2026
Nick Folk,4,4,K,ATL,410721,16,32,37,,0.265,0.265,7.3,7.4,8.6,8.7,10.5,12.9,5.6,5.6,43,43,139,8.7,2026
Harrison Butker,5,7,K,KC,2078888,16,33,37,,0.501,0.502,10.7,11,9.5,9.6,8.4,10.1,3.53,3.53,38,41,137,8.6,2026
Will Reichard,6,6,K,MIN,3121084,16,31,34,,0.266,0.267,7.3,7.4,10,10.3,7.7,8.5,5.7,5.7,44,45,137,8.6,2026
Cairo Santos,7,5,K,CHI,2132690,16,30,34,,0.238,0.238,6.5,6.6,8.2,9,10.1,12.2,5.1,5.1,47,48,137,8.6,2026
Spencer Shrader,8,8,K,IND,3131541,16,32,35,,0.268,0.271,8.8,8.9,9.8,10.5,7.7,8.7,5.2,5.2,40,46,136,8.5,2026
Brandon Aubrey,9,10,K,DAL,2815718,16,31,35,,0.254,0.254,7.9,8,8.3,9,8.9,9.9,5.4,5.4,42,45,135,8.4,2026
Evan McPherson,10,9,K,CIN,2962681,16,30,33,,0.251,0.252,6.9,7,8.2,8.3,9,10,5.3,5.3,45,48,135,8.4,2026
Tyler Loop,11,11,K,BAL,3174704,16,28,32,,0.221,0.221,8.6,8.7,8.9,9,7.8,8.6,2.3,2.3,50,51,134,8.4,2026
Cam Little,12,12,K,JAC,26702477,16,28,31,,0.225,0.225,6.2,6.2,7.3,7.4,9.5,11,4.77,4.77,49,49,133,8.3,2026
Chase McLaughlin,13,13,K,TB,2165272,16,30,36,,0.26,0.261,7.2,7.2,9.8,11.2,7.5,10.1,5.5,5.5,40,41,130,8.1,2026
Tyler Bass,14,14,K,BUF,2188356,16,26,30,,0.211,0.212,5.8,6.5,10,10.2,7.3,9.3,3.11,3.11,47,50,125,7.8,2026
Eddy Pineiro,15,15,K,SF,2221833,16,29,32,,0.244,0.245,7.1,7.2,7.9,8.2,8.6,9.5,5.2,5.2,37,40,124,7.8,2026
Harrison Mevis,16,16,K,LAR,3162619,16,25,27,,0.213,0.215,5.9,5.9,6.9,7.3,9.1,10.1,2.96,2.96,48,49,123,7.7,2026
Wil Lutz,17,17,K,DEN,2008545,16,27,32,,0.206,0.206,7.5,7.6,9.8,10,5.9,8,3.95,3.95,40,41,121,7.6,2026
Trey Smack,18,18,K,GB,28899321,16,28,33,,0.27,0.273,7.8,8,8.7,9.7,7.8,10,3.14,3.14,36,41,120,7.5,2026
Cameron Dicker,19,20,K,LAC,2961997,16,29,31,,0.227,0.227,6.2,6.3,9,9.6,8.7,9.6,4.43,4.43,32,34,119,7.4,2026
Daniel Carlson,20,19,K,NO,2079862,16,28,34,,0.221,0.222,8.6,8.7,7.8,7.9,6.4,8.7,4.7,4.7,35,37,119,7.4,2026
Jason Sanders,21,21,K,NYJ,2131909,16,28,33,,0.23,0.23,6.3,6.4,9.9,10.1,6.6,9.3,4.89,4.89,34,36,118,7.4,2026
Chad Ryland,22,22,K,ARI,2964074,16,27,34,,0.212,0.213,5.8,5.9,8.4,9.1,8.2,10.6,4.32,4.32,36,37,117,7.3,2026
Drew Stevens,23,23,K,WAS,28873746,16,26,32,,0.259,0.261,7.2,7.5,8.3,9.3,7.3,9.5,3.05,3.05,36,41,114,7.1,2026
Jake Elliott,24,24,K,PHI,2080295,16,24,30,,0.192,0.192,5.3,5.3,9.1,9.3,8,10.3,1.83,1.83,41,43,113,7.1,2026
Andres Borregales,25,25,K,NE,26699665,16,24,28,,0.369,0.37,5.9,5.9,7.5,8.3,5.7,8.5,4.19,4.19,40,41,112,7,2026
Dominic Zvada,26,26,K,NYG,28876817,16,23,28,,0.235,0.237,6.6,6.8,7.5,8.4,6.6,8.7,2.46,2.46,39,40,108,6.8,2026
Joey Slye,27,27,K,TEN,3116871,16,25,31,,0.208,0.208,5.9,6.2,6.8,7.1,8,10,4.42,4.42,31,32,106,6.6,2026
Chris Boswell,28,28,K,PIT,1724930,16,24,28,,0.192,0.192,6.2,6.3,6.2,7.4,6.9,7.8,4.08,4.08,33,34,105,6.6,2026
Ryan Fitzgerald,29,29,K,CAR,3126649,16,24,29,,0.2,0.2,5.5,5.5,7.7,8.6,8.5,9.4,1.92,1.92,32,37,104,6.5,2026
Riley Patterson,30,30,K,MIA,2865368,16,24,27,,0.182,0.182,5,5.1,8.1,8.9,7.7,9.5,2.4,2.4,31,31,103,6.4,2026
Andre Szmyt,31,31,K,CLE,2868551,16,22,25,,0.172,0.172,5.4,5.5,8,8.3,4.95,6.1,3.66,3.66,33,33,99,6.2,2026
Matt Gay,32,32,K,LV,2870511,16,22,27,,0.173,0.173,4.82,4.87,6.4,7.1,7.3,8.2,2.99,2.99,33,33,99,6.2,2026
