name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,17,154,116,1130,66.5,9.7,9,0,158,9.3,2026
Colston Loveland,2,2,TE,TE,CHI,28874696,17,130,85,1053,61.9,12.4,8,0,145,8.5,2026
Harold Fannin Jr.,3,3,TE,TE,CLE,28900882,17,131,87,888,52.2,10.2,9,1,139,8.2,2026
Dallas Goedert,4,4,TE,TE,PHI,2132551,17,92,67,719,42.3,10.7,11,0,136,8,2026
Tucker Kraft,5,5,TE,TE,GB,3133332,17,78,57,833,49,14.6,10,0,135,7.9,2026
Tyler Warren,6,6,TE,TE,IND,3168800,17,107,72,886,52.1,12.3,6,0,123,7.2,2026
Mark Andrews,7,7,TE,TE,BAL,2131121,17,86,61,608,35.8,10,10,0,119,7,2026
Isaiah Likely,8,8,TE,TE,NYG,2961906,17,91,67,868,51.1,13,7,2,118,6.9,2026
Sam LaPorta,9,9,TE,TE,DET,3124197,17,90,72,880,51.8,12.2,6,0,116,6.8,2026
Brock Bowers,10,10,TE,TE,LV,26693971,15,102,76,791,52.7,10.4,7,0,112,7.5,2026
George Kittle,11,12,TE,TE,SF,2818265,16,92,71,839,52.4,11.8,6,0,112,7,2026
Dalton Kincaid,12,11,TE,TE,BUF,2982991,17,83,61,794,46.7,13,7,0,112,6.6,2026
Kyle Pitts,13,13,TE,TE,ATL,2964514,17,103,75,830,48.8,11.1,6,0,109,6.4,2026
Travis Kelce,14,14,TE,TE,KC,1725130,17,113,81,822,48.4,10.2,5,0,103,6.1,2026
Brenton Strange,15,15,TE,TE,JAC,3121696,17,95,70,789,46.4,11.3,5,0,100,5.9,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,17,93,70,860,50.6,12.3,4,2,98,5.8,2026
Jake Ferguson,17,17,TE,TE,DAL,2867159,17,99,77,632,37.2,8.2,7,2,93,5.5,2026
Hunter Henry,18,18,TE,TE,NE,2079848,16,78,54,675,42.2,12.5,5,0,90,5.6,2026
Cade Otton,19,19,TE,TE,TB,2815179,17,95,69,722,42.5,10.5,4,0,88,5.2,2026
Dalton Schultz,20,20,TE,TE,HOU,2136748,17,95,72,694,40.8,9.6,4,0,85,5,2026
