name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jaxon Smith-Njigba,1,1,WR,WR,SEA,3162959,16,146,106,1538,96.1,14.5,12,6,32,5.3,0,0,219,13.7,2026
Puka Nacua,2,2,WR,WR,LAR,3121687,16,167,119,1546,96.6,13,8,12,94,7.8,1,1,202,12.6,2026
Amon-Ra St. Brown,3,3,WR,WR,DET,2967690,16,162,115,1293,80.8,11.2,13,2,7,3.5,0,0,199,12.4,2026
Rashee Rice,4,4,WR,WR,KC,3124978,17,155,108,1078,63.4,10,13,9,38,4.2,2,0,191,11.2,2026
Drake London,5,5,WR,WR,ATL,3127902,16,149,92,1293,80.8,14.1,12,2,11,5.5,0,1,191,11.9,2026
Ja'Marr Chase,6,7,WR,WR,CIN,2966320,16,165,113,1350,84.4,12,9,3,17,5.7,0,1,180,11.3,2026
George Pickens,7,6,WR,WR,DAL,3123212,16,135,89,1331,83.2,15,9,0,-1,0,0,0,180,11.3,2026
Nico Collins,8,8,WR,WR,HOU,2878193,16,130,80,1198,74.9,15,9,3,23,7.7,1,1,170,10.6,2026
Chris Olave,9,9,WR,WR,NO,2963666,16,142,95,1287,80.4,13.6,8,1,0,0,0,0,169,10.6,2026
Zay Flowers,10,10,WR,WR,BAL,3127049,16,113,81,1299,81.2,16,7,7,49,7,1,2,169,10.6,2026
Christian Watson,11,12,WR,WR,GB,2869806,16,97,61,1088,68,17.8,11,2,10,5,0,0,167,10.4,2026
Justin Jefferson,12,11,WR,WR,MIN,2871343,16,140,91,1271,79.4,14,8,1,4,4,0,0,167,10.4,2026
CeeDee Lamb,13,13,WR,WR,DAL,2865251,16,144,94,1235,77.2,13.1,6,6,27,4.5,0,0,153,9.6,2026
DeVonta Smith,14,14,WR,WR,PHI,2866975,16,137,94,1247,77.9,13.3,6,0,0,0,0,0,152,9.5,2026
Malik Nabers,15,16,WR,WR,NYG,26697761,16,119,73,974,60.9,13.3,10,4,1,0.3,0,0,149,9.3,2026
Tee Higgins,16,15,WR,WR,CIN,2809208,16,110,67,973,60.8,14.5,10,0,0,0,0,0,149,9.3,2026
Alec Pierce,17,17,WR,WR,IND,2965664,16,90,52,1092,68.3,21,8,0,0,0,0,0,149,9.3,2026
D. Moore,18,18,WR,WR,BUF,2179328,16,108,69,833,52.1,12.1,10,13,69,5.3,1,0,145,9.1,2026
Garrett Wilson,19,19,WR,WR,NYJ,3123864,16,128,84,939,58.7,11.2,9,1,2,2,0,1,137,8.6,2026
Mike Evans,20,20,WR,WR,SF,1824909,16,121,74,911,56.9,12.3,9,0,0,0,0,0,136,8.5,2026
Parker Washington,21,21,WR,WR,JAC,3168820,16,98,62,944,59,15.2,8,7,1,0.1,0,0,135,8.4,2026
Terry McLaurin,22,22,WR,WR,WAS,2139279,16,93,61,869,54.3,14.3,9,1,1,1,0,0,133,8.3,2026
