name,Rank,source_rank,position,team,source_player_id,bye,fgm,fga,fg_pct,epm,epa,projected_fantasy_points,source_updated_date,season
Brandon Aubrey,1,1,K,DAL,18715,14,35,40,87.5,45,46,150,2026-09-03,2026
Cameron Dicker,2,2,K,LAC,18318,7,34,37,91.9,41,41,143,2026-09-03,2026
Ka'imi Fairbairn,3,3,K,HOU,14904,8,34,38,89.5,36,37,138,2026-09-03,2026
Jason Myers,4,4,K,SEA,14584,11,32,37,86.5,42,43,138,2026-09-03,2026
Wil Lutz,5,5,K,DEN,14750,10,29,32,90.6,46,46,133,2026-09-03,2026
Chase McLaughlin,6,6,K,TB,16824,10,31,35,88.6,38,39,131,2026-09-03,2026
Harrison Butker,7,7,K,KC,15827,5,30,35,85.7,40,42,130,2026-09-03,2026
Eddy Pineiro,8,8,K,SF,16055,8,30,34,88.2,40,42,130,2026-09-03,2026
Tyler Bass,9,9,K,BUF,17010,7,25,30,83.3,51,54,126,2026-09-03,2026
Will Reichard,10,13,K,MIN,19090,6,29,32,90.6,38,39,125,2026-09-03,2026
Cam Little,11,12,K,JAC,19039,7,28,31,90.3,41,42,125,2026-09-03,2026
Tyler Loop,12,10,K,BAL,19427,13,27,31,87.1,44,46,125,2026-09-03,2026
Jake Bates,13,11,K,DET,19160,6,26,31,83.9,47,49,125,2026-09-03,2026
Cairo Santos,14,15,K,CHI,14392,10,28,32,87.5,40,41,124,2026-09-03,2026
Trey Smack,15,16,K,GB,19939,11,28,33,84.8,40,42,124,2026-09-03,2026
Andres Borregales,16,14,K,NE,19320,11,26,31,83.9,46,48,124,2026-09-03,2026
Spencer Shrader,17,17,K,IND,19171,13,28,33,84.8,39,41,123,2026-09-03,2026
Evan McPherson,18,18,K,CIN,17642,6,26,30,86.7,43,45,121,2026-09-03,2026
Chris Boswell,19,19,K,PIT,14644,9,28,33,84.8,36,37,120,2026-09-03,2026
Daniel Carlson,20,22,K,NO,16155,8,28,33,84.8,36,38,120,2026-09-03,2026
Jake Elliott,21,21,K,PHI,15860,10,25,30,83.3,45,46,120,2026-09-03,2026
Harrison Mevis,22,20,K,LAR,19640,11,23,25,92,51,53,120,2026-09-03,2026
Dominic Zvada,23,23,K,NYG,19960,8,26,30,86.7,41,42,119,2026-09-03,2026
Chad Ryland,24,24,K,ARI,18636,14,26,32,81.3,34,35,112,2026-09-03,2026
Drew Stevens,25,25,K,WAS,19959,7,24,30,80,40,43,112,2026-09-03,2026
Riley Patterson,26,26,K,MIA,17860,6,27,31,87.1,30,32,111,2026-09-03,2026
Ryan Fitzgerald,27,27,K,CAR,19563,5,25,29,86.2,35,37,110,2026-09-03,2026
Matt Gay,28,29,K,LV,16578,13,26,32,81.3,31,32,109,2026-09-03,2026
Nick Folk,29,28,K,ATL,3188,11,24,26,92.3,37,37,109,2026-09-03,2026
Joey Slye,30,30,K,TEN,16763,9,26,32,81.3,28,30,106,2026-09-03,2026
Blake Grupe,31,31,K,NYJ,18719,13,24,30,80,30,33,102,2026-09-03,2026
Andre Szmyt,32,32,K,CLE,19565,11,23,26,88.5,32,33,101,2026-09-03,2026
