name,Rank,source_rank,position,team,source_player_id,bye,pass_completions,pass_attempts,pass_yards,pass_touchdowns,interceptions,rush_attempts,rush_yards,rush_touchdowns,projected_fantasy_points,source_updated_date,season
Josh Allen,1,1,QB,BUF,16228,7,326,479,3787,26,9,113,567,12,384.2,2026-08-30,2026
Drake Maye,2,2,QB,NE,19046,11,341,494,4049,28,9,96,433,3,335.3,2026-08-30,2026
Lamar Jackson,3,3,QB,BAL,16255,13,304,475,3704,26,8,127,646,3,334.8,2026-08-30,2026
Jayden Daniels,4,4,QB,WAS,18946,7,327,496,3770,23,11,119,642,4,331,2026-08-30,2026
Jalen Hurts,5,5,QB,PHI,17116,10,321,494,3556,23,7,111,456,8,327.8,2026-08-30,2026
Bo Nix,6,6,QB,DEN,19071,10,338,527,3850,27,12,82,362,4,322.2,2026-08-30,2026
Joe Burrow,7,7,QB,CIN,17028,6,390,581,4128,33,10,61,182,1,321.3,2026-08-30,2026
Brock Purdy,8,8,QB,SF,18184,8,377,555,4159,26,13,65,286,3,317,2026-08-30,2026
Caleb Williams,9,9,QB,CHI,19147,10,333,538,3871,27,8,88,412,2,316,2026-08-30,2026
Dak Prescott,10,10,QB,DAL,15681,14,381,577,4329,30,10,45,161,1,315.3,2026-08-30,2026
Jaxson Dart,11,11,QB,NYG,19347,8,331,517,3570,20,9,103,564,6,315.2,2026-08-30,2026
Justin Herbert,12,12,QB,LAC,17102,7,352,534,3952,25,11,74,427,2,312.8,2026-08-30,2026
Trevor Lawrence,13,13,QB,JAC,17624,7,335,541,3948,25,11,67,301,4,312,2026-08-30,2026
Jared Goff,14,14,QB,DET,15589,6,383,572,4459,32,10,23,50,0,311.4,2026-08-30,2026
Tyler Shough,15,15,QB,NO,19502,8,362,549,3951,22,10,94,377,4,307.7,2026-08-30,2026
Patrick Mahomes,16,16,QB,KC,15946,5,350,547,3831,26,11,57,315,3,306.7,2026-08-30,2026
Kyler Murray,17,17,QB,MIN,16663,6,346,525,3672,23,12,85,494,3,306.3,2026-08-30,2026
Matthew Stafford,18,18,QB,LAR,11001,11,359,544,4242,33,9,17,22,0,303.9,2026-08-30,2026
Baker Mayfield,19,19,QB,TB,16116,10,353,543,3750,24,12,60,366,1,288.6,2026-08-30,2026
Sam Darnold,20,20,QB,SEA,16316,11,337,510,4130,26,13,40,125,1,287.7,2026-08-30,2026
Malik Willis,21,21,QB,MIA,18247,6,319,515,3450,15,10,124,657,4,287.7,2026-08-30,2026
Jordan Love,22,22,QB,GB,17146,11,343,528,3856,26,10,43,185,1,282.7,2026-08-30,2026
Daniel Jones,23,23,QB,IND,16624,13,329,492,3688,21,12,73,278,3,277.3,2026-08-30,2026
Bryce Young,24,24,QB,CAR,18704,5,336,524,3355,22,10,55,229,3,263.1,2026-08-30,2026
C.J. Stroud,25,25,QB,HOU,18666,8,339,529,3759,21,10,51,218,1,262.2,2026-08-30,2026
Geno Smith,26,26,QB,NYJ,13362,13,351,540,3619,21,14,56,157,1,250.5,2026-08-30,2026
Cam Ward,27,27,QB,TEN,19538,9,349,572,3662,19,11,49,207,1,249.2,2026-08-30,2026
Aaron Rodgers,28,28,QB,PIT,2480,9,354,537,3649,23,8,29,80,0,246,2026-08-30,2026
Jacoby Brissett,29,29,QB,ARI,15522,14,338,521,3645,19,10,43,178,1,245.6,2026-08-30,2026
Fernando Mendoza,30,30,QB,LV,19797,13,264,426,2979,15,10,48,217,1,206.9,2026-08-30,2026
Tua Tagovailoa,31,31,QB,ATL,17221,11,243,369,2544,13,7,18,42,0,158,2026-08-30,2026
Deshaun Watson,32,32,QB,CLE,16031,11,184,288,2045,10,7,47,189,1,146.7,2026-08-30,2026
Shedeur Sanders,33,33,QB,CLE,19495,11,156,268,1798,10,8,32,182,1,136.1,2026-08-30,2026
Michael Penix Jr.,34,34,QB,ATL,19080,11,136,219,1555,8,4,15,46,0,98.8,2026-08-30,2026
Kirk Cousins,35,35,QB,LV,12376,13,75,121,844,6,5,3,7,0,58.5,2026-08-30,2026
Carson Beck,36,36,QB,ARI,19741,14,40,63,449,3,2,7,24,0,32.4,2026-08-30,2026
Jameis Winston,37,37,QB,NYG,15353,8,20,35,277,2,2,2,8,0,19.9,2026-08-30,2026
Riley Leonard,38,38,QB,IND,19423,13,23,37,259,2,1,2,9,0,19.3,2026-08-30,2026
Quinn Ewers,39,39,QB,MIA,19356,6,21,32,226,2,1,4,12,0,18.2,2026-08-30,2026
J.J. McCarthy,40,40,QB,MIN,19048,6,24,41,286,1,1,4,18,0,17.2,2026-08-30,2026
Justin Fields,41,41,QB,KC,17568,5,22,35,237,1,1,4,19,0,15.4,2026-08-30,2026
Tyrod Taylor,42,42,QB,GB,12034,11,18,30,211,1,1,2,9,0,13.3,2026-08-30,2026
Joe Milton III,43,43,QB,DAL,19059,14,15,24,177,1,1,4,22,0,13.3,2026-08-30,2026
Davis Mills,44,44,QB,HOU,17646,8,20,32,221,1,1,2,4,0,13.2,2026-08-30,2026
Tyson Bagent,45,45,QB,CHI,18718,10,17,26,195,1,0,2,6,0,12.4,2026-08-30,2026
Will Howard,46,46,QB,PIT,19394,9,16,26,186,1,1,2,7,0,12.1,2026-08-30,2026
Kenny Pickett,47,47,QB,CAR,18180,5,16,25,185,1,1,3,6,0,12,2026-08-30,2026
Cade Klubnik,48,48,QB,NYJ,19732,13,16,25,177,1,1,2,9,0,12,2026-08-30,2026
Kyle Allen,49,49,QB,BUF,16473,7,16,26,181,1,1,2,6,0,11.8,2026-08-30,2026
Mac Jones,50,50,QB,SF,17617,8,15,22,168,1,0,2,5,0,11.2,2026-08-30,2026
Mitchell Trubisky,51,51,QB,TEN,16022,9,12,18,134,1,1,2,8,0,10.2,2026-08-30,2026
Ty Simpson,52,52,QB,LAR,19942,11,11,19,132,1,0,1,5,0,9.8,2026-08-30,2026
Spencer Rattler,53,53,QB,NO,19089,8,11,17,118,1,0,1,4,0,9.1,2026-08-30,2026
Trey Lance,54,54,QB,LAC,17623,7,7,12,82,1,0,1,4,0,7.7,2026-08-30,2026
Marcus Mariota,55,55,QB,WAS,15240,7,13,20,148,0,1,2,11,0,7,2026-08-30,2026
Tyler Huntley,56,56,QB,BAL,17392,13,15,21,144,0,1,2,7,0,6.5,2026-08-30,2026
Nick Mullens,57,57,QB,JAC,16427,7,13,20,143,0,0,0,0,0,5.7,2026-08-30,2026
Jarrett Stidham,58,58,QB,DEN,16711,10,10,16,115,0,1,2,4,0,5,2026-08-30,2026
Tommy DeVito,59,59,QB,NE,18781,11,10,16,111,0,1,1,5,0,4.9,2026-08-30,2026
Joe Flacco,60,60,QB,CIN,2913,6,10,16,105,0,0,1,2,0,4.4,2026-08-30,2026
Tanner McKee,61,61,QB,PHI,18593,10,9,13,103,0,0,0,0,0,4.1,2026-08-30,2026
Joshua Dobbs,62,62,QB,DET,15852,6,9,13,85,0,0,1,6,0,4,2026-08-30,2026
Jake Browning,63,63,QB,TB,18721,10,8,13,85,0,0,2,4,0,3.8,2026-08-30,2026
Drew Lock,64,64,QB,SEA,16635,11,5,7,52,0,0,1,4,0,2.5,2026-08-30,2026
