name,Rank,source_rank,position,team,source_player_id,bye,rush_attempts,rush_yards,rush_touchdowns,receptions,receiving_yards,receiving_touchdowns,projected_fantasy_points,source_updated_date,season
Jahmyr Gibbs,1,1,RB,DET,18522,6,279,1422,12,72,572,4,331.4,2026-08-06,2026
Bijan Robinson,2,2,RB,ATL,18630,11,280,1402,9,84,707,3,324.9,2026-08-06,2026
Christian McCaffrey,3,3,RB,SF,15950,8,279,1144,9,82,715,4,304.9,2026-08-06,2026
Jonathan Taylor,4,4,RB,IND,17224,13,299,1436,12,36,289,1,268.5,2026-08-06,2026
James Cook,5,5,RB,BUF,18046,7,275,1377,11,32,275,2,259.2,2026-08-06,2026
Derrick Henry,6,6,RB,BAL,15602,13,321,1572,12,16,144,0,251.6,2026-08-06,2026
Omarion Hampton,7,7,RB,LAC,19379,7,257,1129,9,52,366,2,241.5,2026-08-06,2026
Saquon Barkley,8,8,RB,PHI,16319,10,281,1236,9,42,307,2,241.3,2026-08-06,2026
De'Von Achane,9,9,RB,MIA,18452,6,228,1161,6,56,411,3,239.2,2026-08-06,2026
Chase Brown,10,10,RB,CIN,18488,6,242,1066,7,55,377,4,237.8,2026-08-06,2026
Kenneth Walker,11,11,RB,KC,18234,5,262,1177,9,42,322,2,236.9,2026-08-06,2026
Ashton Jeanty,12,12,RB,LV,19405,13,271,1137,7,56,406,2,236.3,2026-08-06,2026
Jeremiyah Love,13,13,RB,ARI,19832,14,246,1082,7,56,417,2,231.9,2026-08-06,2026
Kyren Williams,14,14,RB,LAR,18245,11,249,1171,10,34,245,2,230.6,2026-08-06,2026
Josh Jacobs,15,15,RB,GB,16611,11,282,1155,10,35,277,1,226.7,2026-08-06,2026
Cam Skattebo,16,16,RB,NYG,19506,8,262,1048,8,46,366,2,224.4,2026-08-06,2026
Breece Hall,17,17,RB,NYJ,18087,13,258,1162,5,47,403,2,222,2026-08-06,2026
Javonte Williams,18,18,RB,DAL,17753,14,245,1126,10,33,217,1,216.8,2026-08-06,2026
Bucky Irving,19,19,RB,TB,18997,10,261,1045,7,39,315,2,209.5,2026-08-06,2026
Bhayshul Tuten,20,20,RB,JAC,19531,7,257,1055,7,38,288,2,207.3,2026-08-06,2026
Travis Etienne,21,21,RB,NO,17561,8,246,1082,5,44,327,2,204.9,2026-08-06,2026
