name,Rank,source_rank,position,team,source_player_id,bye,receptions,receiving_yards,receiving_touchdowns,projected_fantasy_points,source_updated_date,season
Brock Bowers,1,1,TE,LV,18922,13,103,1088,7,202.3,2026-08-30,2026
Trey McBride,2,2,TE,ARI,18148,14,104,1049,7,198.9,2026-08-30,2026
Colston Loveland,3,3,TE,CHI,19428,10,73,848,6,157.3,2026-08-30,2026
Tyler Warren,4,4,TE,IND,19539,13,78,836,5,152.6,2026-08-30,2026
Harold Fannin Jr.,5,5,TE,CLE,19359,11,77,801,5,148.6,2026-08-30,2026
Kyle Pitts,6,6,TE,ATL,17682,11,76,856,4,147.6,2026-08-30,2026
Travis Kelce,7,7,TE,KC,13217,5,73,771,4,137.6,2026-08-30,2026
Sam LaPorta,8,8,TE,DET,18573,6,61,745,5,135,2026-08-30,2026
Mark Andrews,9,9,TE,BAL,16268,13,61,645,6,131,2026-08-30,2026
Tucker Kraft,10,10,TE,GB,18570,11,57,724,5,130.9,2026-08-30,2026
Dallas Goedert,11,11,TE,PHI,16151,10,58,625,6,127.5,2026-08-30,2026
George Kittle,12,12,TE,SF,15929,8,57,655,5,124,2026-08-30,2026
Jake Ferguson,13,13,TE,DAL,18072,14,71,585,5,124,2026-08-30,2026
Dalton Kincaid,14,14,TE,BUF,18569,7,52,645,5,120.5,2026-08-30,2026
Hunter Henry,15,15,TE,NE,15603,11,55,624,5,119.9,2026-08-30,2026
Isaiah Likely,16,16,TE,NYG,18134,8,56,656,4,117.6,2026-08-30,2026
Dalton Schultz,17,17,TE,HOU,16152,8,67,646,3,116.1,2026-08-30,2026
Juwan Johnson,18,18,TE,NO,17335,8,60,676,3,115.6,2026-08-30,2026
Pat Freiermuth,19,19,TE,PIT,17574,9,53,566,5,113.1,2026-08-30,2026
Greg Dulcich,20,20,TE,MIA,18059,6,54,606,4,111.6,2026-08-30,2026
Brenton Strange,21,21,TE,JAC,18664,7,51,571,4,106.6,2026-08-30,2026
T.J. Hockenson,22,22,TE,MIN,16600,6,59,568,3,104.3,2026-08-30,2026
AJ Barner,23,23,TE,SEA,18911,11,54,504,4,101.4,2026-08-30,2026
Terrance Ferguson,24,24,TE,LAR,19362,11,42,490,5,100,2026-08-30,2026
Cade Otton,25,25,TE,TB,18171,10,53,525,3,97,2026-08-30,2026
Chigoziem Okonkwo,26,26,TE,WAS,18167,7,54,519,3,96.9,2026-08-30,2026
Evan Engram,27,27,TE,DEN,15862,10,57,484,3,94.9,2026-08-30,2026
Mike Gesicki,28,28,TE,CIN,16281,6,43,450,4,90.5,2026-08-30,2026
Gunnar Helm,29,29,TE,TEN,19387,9,45,455,3,86,2026-08-30,2026
Mason Taylor,30,30,TE,NYJ,19521,13,50,481,2,85.1,2026-08-30,2026
Darren Waller,31,31,TE,CAR,15340,5,41,397,4,84.2,2026-08-30,2026
Michael Mayer,32,32,TE,LV,18586,13,43,420,3,81.5,2026-08-30,2026
David Njoku,33,33,TE,LAC,15971,7,45,369,3,77.4,2026-08-30,2026
Kenyon Sadiq,34,34,TE,NYJ,19865,13,39,455,2,77,2026-08-30,2026
Oronde Gadsden,35,35,TE,LAC,19367,7,34,414,3,76.4,2026-08-30,2026
Cole Kmet,36,36,TE,CHI,17140,10,35,374,3,72.9,2026-08-30,2026
Dawson Knox,37,37,TE,BUF,16629,7,26,329,3,63.9,2026-08-30,2026
Colby Parkinson,38,38,TE,LAR,17173,11,31,301,3,63.6,2026-08-30,2026
Darnell Washington,39,39,TE,PIT,18687,9,26,299,2,54.9,2026-08-30,2026
Theo Johnson,40,40,TE,NYG,19010,8,24,282,2,52.2,2026-08-30,2026
Noah Fant,41,41,TE,NO,16564,8,27,255,2,51,2026-08-30,2026
Jake Tonges,42,42,TE,SF,18301,8,25,265,2,51,2026-08-30,2026
Austin Hooper,43,43,TE,ATL,15610,11,22,245,2,47.5,2026-08-30,2026
Noah Gray,44,44,TE,KC,17587,5,22,234,2,46.4,2026-08-30,2026
Tyler Higbee,45,45,TE,LAR,15605,11,20,236,2,45.6,2026-08-30,2026
Elijah Arroyo,46,46,TE,SEA,19304,11,23,216,2,45.1,2026-08-30,2026
Tommy Tremble,47,47,TE,CAR,17731,5,22,215,2,44.5,2026-08-30,2026
