name,Rank,source_rank,position,team,source_player_id,bye,receptions,receiving_yards,receiving_touchdowns,rush_attempts,rush_yards,rush_touchdowns,projected_fantasy_points,source_updated_date,season
Puka Nacua,1,1,WR,LAR,18605,11,116,1561,9,10,72,1,281.3,2026-08-30,2026
Ja'Marr Chase,2,2,WR,CIN,17533,6,116,1474,11,2,11,0,272.5,2026-08-30,2026
Amon-Ra St. Brown,3,3,WR,DET,17712,6,119,1377,10,4,14,0,258.6,2026-08-30,2026
Jaxon Smith-Njigba,4,4,WR,SEA,18656,11,105,1521,8,5,30,0,255.6,2026-08-30,2026
Drake London,5,5,WR,ATL,18137,11,99,1312,7,0,0,0,222.7,2026-08-30,2026
Justin Jefferson,6,6,WR,MIN,17123,6,95,1288,7,0,0,0,218.3,2026-08-30,2026
CeeDee Lamb,7,7,WR,DAL,17141,14,87,1177,8,0,0,0,209.2,2026-08-30,2026
Chris Olave,8,8,WR,NO,18169,8,97,1147,7,0,0,0,205.2,2026-08-30,2026
A.J. Brown,9,9,WR,NE,16527,11,86,1155,7,0,0,0,200.5,2026-08-30,2026
Nico Collins,10,10,WR,HOU,17540,8,79,1186,7,0,0,0,200.1,2026-08-30,2026
Rashee Rice,11,11,WR,KC,18624,5,93,1077,7,0,0,0,196.2,2026-08-30,2026
Garrett Wilson,12,12,WR,NYJ,18248,13,100,1155,5,0,0,0,195.5,2026-08-30,2026
Zay Flowers,13,13,WR,BAL,18516,13,79,1117,6,10,59,0,193.1,2026-08-30,2026
Malik Nabers,14,14,WR,NYG,19068,8,81,1077,7,0,0,0,190.2,2026-08-30,2026
DeVonta Smith,15,15,WR,PHI,17708,10,83,1122,6,0,0,0,189.7,2026-08-30,2026
George Pickens,16,16,WR,DAL,18179,14,74,1102,7,0,0,0,189.2,2026-08-30,2026
Jameson Williams,17,17,WR,DET,18242,6,66,1088,7,8,42,0,188,2026-08-30,2026
Davante Adams,18,18,WR,LAR,14102,11,70,911,10,0,0,0,186.1,2026-08-30,2026
Emeka Egbuka,19,19,WR,TB,19351,10,78,1046,7,0,0,0,185.6,2026-08-30,2026
Tetairoa McMillan,20,20,WR,CAR,19441,5,78,1081,6,0,0,0,183.1,2026-08-30,2026
Christian Watson,21,21,WR,GB,18237,11,65,982,7,0,0,0,172.7,2026-08-30,2026
Mike Evans,22,22,WR,SF,14172,8,69,955,7,0,0,0,172,2026-08-30,2026
D.J. Moore,23,23,WR,BUF,16146,7,71,955,6,8,45,0,171.5,2026-08-30,2026
Tee Higgins,24,24,WR,CIN,17104,6,65,906,8,0,0,0,171.1,2026-08-30,2026
Jaylen Waddle,25,25,WR,DEN,17740,10,72,987,6,0,0,0,170.7,2026-08-30,2026
Ladd McConkey,26,26,WR,LAC,19050,7,76,956,6,0,0,0,169.6,2026-08-30,2026
Rome Odunze,27,27,WR,CHI,19074,10,65,945,7,0,0,0,169,2026-08-30,2026
Luther Burden III,28,28,WR,CHI,19331,10,70,926,6,6,33,0,166.9,2026-08-30,2026
DK Metcalf,29,29,WR,PIT,16650,9,67,944,6,0,0,0,163.9,2026-08-30,2026
Terry McLaurin,30,30,WR,WAS,16648,7,65,937,6,0,0,0,162.2,2026-08-30,2026
Marvin Harrison Jr.,31,31,WR,ARI,18989,14,64,933,6,0,0,0,161.3,2026-08-30,2026
Courtland Sutton,32,32,WR,DEN,16144,10,63,848,7,0,0,0,158.3,2026-08-30,2026
Michael Pittman Jr.,33,33,WR,PIT,17183,9,76,877,5,0,0,0,155.7,2026-08-30,2026
Alec Pierce,34,34,WR,IND,18181,13,60,917,5,0,0,0,151.7,2026-08-30,2026
Jayden Reed,35,35,WR,GB,18622,11,66,815,5,11,68,0,151.3,2026-08-30,2026
Carnell Tate,36,36,WR,TEN,19739,9,65,867,5,0,0,0,149.2,2026-08-30,2026
Jakobi Meyers,37,37,WR,JAC,16762,7,67,782,5,3,19,0,143.6,2026-08-30,2026
Parker Washington,38,38,WR,JAC,18688,7,62,814,5,0,0,0,142.4,2026-08-30,2026
Chris Godwin,39,39,WR,TB,15881,10,68,779,5,0,0,0,141.9,2026-08-30,2026
Xavier Worthy,40,40,WR,KC,19154,5,57,735,4,12,76,1,139.6,2026-08-30,2026
Michael Wilson,41,41,WR,ARI,18696,14,66,822,4,0,0,0,139.2,2026-08-30,2026
Brian Thomas Jr.,42,42,WR,JAC,19123,7,56,812,5,0,0,0,139.2,2026-08-30,2026
Stefon Diggs,43,43,WR,WAS,15156,7,62,766,5,0,0,0,137.6,2026-08-30,2026
Khalil Shakir,44,44,WR,BUF,18200,7,72,766,4,0,0,0,136.6,2026-08-30,2026
Jordan Addison,45,45,WR,MIN,18453,6,55,769,5,3,19,0,136.3,2026-08-30,2026
Wan'Dale Robinson,46,46,WR,TEN,18191,9,77,796,3,0,0,0,136.1,2026-08-30,2026
Romeo Doubs,47,47,WR,NE,18058,11,58,759,5,0,0,0,134.9,2026-08-30,2026
Quentin Johnston,48,48,WR,LAC,18561,7,50,707,6,0,0,0,131.7,2026-08-30,2026
Josh Downs,49,49,WR,IND,18508,13,68,707,4,0,0,0,128.7,2026-08-30,2026
Matthew Golden,50,50,WR,GB,19370,11,54,702,5,0,0,0,127.2,2026-08-30,2026
KC Concepcion,51,51,WR,CLE,19858,11,58,752,3,5,24,0,124.6,2026-08-30,2026
De'Zhaun Stribling,52,52,WR,SF,19769,8,56,677,4,0,0,0,119.7,2026-08-30,2026
Makai Lemon,53,53,WR,PHI,19879,10,56,658,4,4,19,0,119.7,2026-08-30,2026
Rashid Shaheed,54,54,WR,SEA,18326,11,49,659,4,7,45,0,118.9,2026-08-30,2026
Jordyn Tyson,55,55,WR,NO,19838,8,49,633,4,0,0,0,111.8,2026-08-30,2026
Tre Tucker,56,56,WR,LV,18675,13,52,655,3,0,0,0,109.5,2026-08-30,2026
Deebo Samuel,57,57,WR,SF,16688,8,47,537,3,14,68,1,108,2026-08-30,2026
Jerry Jeudy,58,58,WR,CLE,17127,11,51,645,3,0,0,0,108,2026-08-30,2026
Jalen Coker,59,59,WR,CAR,19207,5,50,621,3,0,0,0,105.1,2026-08-30,2026
Rashod Bateman,60,60,WR,BAL,17509,13,44,572,4,0,0,0,103.2,2026-08-30,2026
Keenan Allen,61,61,WR,IND,13003,13,55,566,3,0,0,0,102.1,2026-08-30,2026
Jalen McMillan,62,62,WR,TB,19055,10,39,555,4,0,0,0,99,2026-08-30,2026
Calvin Ridley,63,63,WR,TEN,16129,9,39,568,3,0,0,0,94.3,2026-08-30,2026
Germie Bernard,64,64,WR,PIT,19806,9,43,523,3,4,19,0,93.7,2026-08-30,2026
Jalen Nailor,65,65,WR,LV,18162,13,44,577,2,0,0,0,91.7,2026-08-30,2026
Adonai Mitchell,66,66,WR,NYJ,19061,13,36,482,4,0,0,0,90.2,2026-08-30,2026
Malik Washington,67,67,WR,MIA,19140,6,43,455,3,8,46,0,89.6,2026-08-30,2026
Caleb Douglas,68,68,WR,MIA,19735,6,42,517,2,0,0,0,84.7,2026-08-30,2026
Denzel Boston,69,69,WR,CLE,19773,11,40,526,2,0,0,0,84.6,2026-08-30,2026
Ryan Flournoy,70,70,WR,DAL,18965,14,36,417,4,0,0,0,83.7,2026-08-30,2026
Jauan Jennings,71,71,WR,MIN,17126,6,37,466,3,0,0,0,83.1,2026-08-30,2026
Devaughn Vele,72,72,WR,NO,19133,8,38,444,3,0,0,0,81.4,2026-08-30,2026
Cooper Kupp,73,73,WR,SEA,15932,11,36,445,3,0,0,0,80.5,2026-08-30,2026
Xavier Legette,74,74,WR,CAR,19036,5,38,427,3,0,0,0,79.7,2026-08-30,2026
Isaac TeSlaa,75,75,WR,DET,19522,6,30,385,4,0,0,0,77.5,2026-08-30,2026
Darius Slayton,76,76,WR,NYG,16702,8,31,426,3,0,0,0,76.1,2026-08-30,2026
Jaylin Noel,77,77,WR,HOU,19464,8,34,395,3,0,0,0,74.5,2026-08-30,2026
Dontayvion Wicks,78,78,WR,PHI,18691,10,34,446,2,0,0,0,73.6,2026-08-30,2026
Kayshon Boutte,79,79,WR,HOU,18479,8,31,446,2,0,0,0,72.1,2026-08-30,2026
Ja'Kobi Lane,80,80,WR,BAL,19811,13,30,374,3,0,0,0,70.4,2026-08-30,2026
Antonio Williams,81,81,WR,WAS,19711,7,27,388,3,0,0,0,70.3,2026-08-30,2026
Tre Harris,82,82,WR,LAC,19383,7,32,415,2,0,0,0,69.5,2026-08-30,2026
KaVontae Turpin,83,83,WR,DAL,18290,14,23,355,2,16,93,0,68.3,2026-08-30,2026
Travis Hunter,84,84,WR,JAC,19396,7,34,391,2,0,0,0,68.1,2026-08-30,2026
Jalen Tolbert,85,85,WR,MIA,18224,6,34,446,1,0,0,0,67.6,2026-08-30,2026
Omar Cooper Jr.,86,86,WR,NYJ,19904,13,28,355,3,0,0,0,67.5,2026-08-30,2026
Pat Bryant,87,87,WR,DEN,19328,10,31,386,2,0,0,0,66.1,2026-08-30,2026
Xavier Hutchinson,88,88,WR,HOU,18550,8,27,331,3,0,0,0,64.6,2026-08-30,2026
Olamide Zaccheaus,89,89,WR,ATL,16859,11,29,377,2,0,0,0,64.2,2026-08-30,2026
Dyami Brown,90,90,WR,WAS,17523,7,29,377,2,0,0,0,64.2,2026-08-30,2026
Tyquan Thornton,91,91,WR,KC,18222,5,21,355,3,0,0,0,64,2026-08-30,2026
Malachi Fields,92,92,WR,NYG,19880,8,30,345,2,0,0,0,61.5,2026-08-30,2026
Andrei Iosivas,93,93,WR,CIN,18553,6,27,351,2,0,0,0,60.6,2026-08-30,2026
Demario Douglas,94,94,WR,NE,18506,11,28,345,2,0,0,0,60.5,2026-08-30,2026
Jack Bech,95,95,WR,LV,19312,13,29,336,2,0,0,0,60.1,2026-08-30,2026
Darnell Mooney,96,96,WR,NYG,17159,8,24,327,2,0,0,0,56.7,2026-08-30,2026
Cyrus Allen,97,97,WR,KC,19759,5,26,315,2,0,0,0,56.5,2026-08-30,2026
Troy Franklin,98,98,WR,DEN,18968,10,27,308,2,0,0,0,56.3,2026-08-30,2026
Tutu Atwell,99,99,WR,MIA,17502,6,23,316,2,0,0,0,55.1,2026-08-30,2026
Kendrick Bourne,100,100,WR,ARI,14994,14,23,307,2,0,0,0,54.2,2026-08-30,2026
Keon Coleman,101,101,WR,BUF,18938,7,21,307,2,0,0,0,53.2,2026-08-30,2026
Mack Hollins,102,102,WR,NE,15900,11,22,272,2,0,0,0,50.2,2026-08-30,2026
Tory Horton,103,103,WR,SEA,19393,11,18,245,2,0,0,0,45.5,2026-08-30,2026
Jahan Dotson,104,104,WR,ATL,18057,11,18,244,2,0,0,0,45.4,2026-08-30,2026
Kalif Raymond,105,105,WR,CHI,14879,10,20,231,2,0,0,0,45.1,2026-08-30,2026
Isaiah Bond,106,106,WR,CLE,19557,11,19,275,1,0,0,0,43,2026-08-30,2026
Tank Dell,107,107,WR,HOU,18502,8,20,227,1,0,0,0,38.7,2026-08-30,2026
Dont'e Thornton Jr.,108,108,WR,LV,19524,13,18,227,1,0,0,0,37.7,2026-08-30,2026
Zachariah Branch,109,109,WR,ATL,19952,11,18,212,1,0,0,0,36.2,2026-08-30,2026
Isaiah Williams,110,110,WR,NYJ,19233,13,16,206,1,0,0,0,34.6,2026-08-30,2026
Josh Palmer,111,111,WR,BUF,17676,7,16,204,1,0,0,0,34.4,2026-08-30,2026
Jordan Whittington,112,112,WR,LAR,19144,11,17,187,1,0,0,0,33.2,2026-08-30,2026
Christian Kirk,113,113,WR,SF,16136,8,15,186,1,0,0,0,32.1,2026-08-30,2026
Marquise Brown,114,114,WR,PHI,16529,10,15,177,1,0,0,0,31.2,2026-08-30,2026
Konata Mumpfield,115,115,WR,LAR,19460,11,15,176,1,0,0,0,31.1,2026-08-30,2026
Devontez Walker,116,116,WR,BAL,19136,13,12,187,1,0,0,0,30.7,2026-08-30,2026
Elic Ayomanor,117,117,WR,TEN,19306,9,14,175,1,0,0,0,30.5,2026-08-30,2026
Treylon Burks,118,118,WR,WAS,18029,7,13,169,1,0,0,0,29.4,2026-08-30,2026
Savion Williams,119,119,WR,GB,19550,11,13,159,1,0,0,0,28.4,2026-08-30,2026
Tez Johnson,120,120,WR,TB,19407,10,13,137,1,0,0,0,26.2,2026-08-30,2026
KeAndre Lambert-Smith,121,121,WR,LAC,19420,7,12,135,1,0,0,0,25.5,2026-08-30,2026
Chimere Dike,122,122,WR,TEN,19350,9,13,129,1,0,0,0,25.4,2026-08-30,2026
Jahdae Walker,123,123,WR,CHI,19670,10,10,117,1,0,0,0,22.7,2026-08-30,2026
Brandon Aiyuk,124,124,WR,SF,17002,8,7,100,1,0,0,0,19.5,2026-08-30,2026
Mitchell Tinsley,125,125,WR,CIN,19584,6,8,104,0,0,0,0,14.4,2026-08-30,2026
Greg Dortch,126,126,WR,DET,16889,6,9,86,0,0,0,0,13.1,2026-08-30,2026
